,id,nodes_num,edges_num,lifetime,start_time,end_time,cpu_data,ram_data,rom_data,bw_data
0,0,2,1,1027.489285096672,73.5850672707236,1101.0743523673955,[14  5],[ 8 23],[22 11],[25]
1,1,6,5,521.7576368982918,70.93815537777444,592.6957922760663,[ 4  3  9 27  3 12],[16 27 11 13 24 28],[13 19 24 23  4 23],[ 9 25  6 26  3]
2,2,2,1,577.7806857057358,85.10036804694606,662.8810537526819,[28  6],[12  4],[ 6 12],[3]
3,3,5,4,520.816512906988,80.49313021742829,601.3096431244163,[17 19  9 29 10],[ 3 12 27  8  6],[28 21 24 20 23],[ 4 10  5 29]
4,4,5,4,615.8446079217869,17.4085079939116,633.2531159156985,[12 16  5 21 22],[15 19 23 29 17],[24 14 24 17 11],[ 3 13 25 19]
5,5,2,1,70.30754580896117,18.622342828696247,88.92988863765741,[18  7],[19 26],[26  9],[26]
6,6,6,5,433.72324409280566,96.27815618697414,530.0014002797798,[25 13 27 24 23 20],[19  4 14 29 17  8],[29 21 27 27  7 11],[27 17 12 12 17]
7,7,5,4,160.125364239009,12.284487310770487,172.4098515497795,[24 12  8 19  3],[ 8 17  9 22  2],[ 3  6 12  4 29],[12 12 20 29]
8,8,12,11,92.669720804981,57.74397157343377,150.41369237841477,[25  5 21  5 30  4 13 22  5  8  5 15],[ 9  5 21  8 18  6 10 23 27 18  5 12],[17 16  7 26 20 27  4 12  2 18  3 22],[28  9 22 27 11  8 21 11 11 12 18]
9,9,3,2,417.35739501997557,42.975180643608546,460.3325756635841,[10 18 13],[ 9  8 12],[21 20 21],[8 8]
10,10,2,1,751.8590743168216,19.486264242596306,771.345338559418,[22  3],[26 28],[12 19],[11]
11,11,5,4,614.7381421353397,69.7338351748899,684.4719773102296,[ 8 29 28 25 27],[11  7 13  8 23],[12 20 16 21 13],[21  3 19 28]
12,12,10,9,363.6688032756873,160.2428243545798,523.911627630267,[28 17 18 11 15 26 29  3  8 12],[27  6 23 24 29 18 10 19 18 13],[21 23 11  2  8 18 12 16  8 17],[16 30 23 16 16 17 30 25  8]
13,13,2,1,40.62564681438872,137.32978296250215,177.95542977689087,[25 20],[ 2 30],[27 14],[12]
14,14,6,5,363.03187168196297,149.13230401748302,512.164175699446,[ 8 27 10 14 11 11],[21 18 26 12 24 12],[20 29 13 14 26 24],[ 6 17 26 14 21]
15,15,14,13,133.30938201400775,193.40129510283722,326.710677116845,[15  7 30  6 24 26  5 30 23 30 14  7 25 14],[26 22 23 11 10  5 27  5 16  7 21  4  6  3],[ 4 28 21  3 18 18  7 16 11 25  3  6  9 29],[27  7 30  9 15 17  4  4  6 17 14 30 10]
16,16,10,9,321.0213431406104,155.08298710667174,476.1043302472821,[ 7 21 20 28 14  5 12  3 18  3],[11 22 29  5 13 24 15 21 20  9],[20 28 29  9  5 20 22  6  3  9],[16 14 28 23 19 26 28 26 27]
17,17,5,4,154.1245530149514,140.71208110598658,294.836634120938,[13 30 25 27  6],[30  5 25 12 28],[ 4 28  6 30  3],[ 4 19 26  4]
18,18,14,13,183.78977923303268,137.25453399337647,321.04431322640914,[ 6 19 30 14 18 10 30 29  2  5 27  9  8 12],[29  6 18 11  6 15 11 22  9  3 20 15 19 26],[20 17 20 10 12 30  7  4 23 11 21 20 14  8],[ 7 11 30 18 13 11  9 30  8 23 30 16  4]
19,19,14,13,366.18669833019015,178.37170621265847,544.5584045428486,[11  3 10 24 19 26 23 25 19  9 17 15 15 20],[27 16 20  2 25 21 16  5 16 29 14 26 23  3],[29  4 28 26  2 30  6 26 16  7 26 19 28 17],[21 16 23 18  6 17 10 10  7 12 19 27  3]
20,20,10,9,262.26519232874256,174.30441487733992,436.5696072060825,[11 21 14 15 17 22  7 25  9 26],[ 9 30 15 11 24  3 28 25 19 17],[18 26 13 25 16 16 26 25 19 18],[18 14 13 16 30 16  2 30 14]
21,21,5,4,794.4646715380142,172.71711831094387,967.181789848958,[20 29  5 28 26],[21  4 25 15 10],[ 9 30  8  6 15],[11 21  8  8]
22,22,5,4,1105.0080964598521,185.4818085771679,1290.48990503702,[28  2  7  5  5],[ 4  9 26 28 14],[24 13 11 23 25],[24  6 17 20]
23,23,4,3,81.17885503276767,171.14281137654518,252.32166640931285,[27 15  8  4],[19 22 18 10],[ 7  7 18 24],[ 4 12 25]
24,24,7,6,393.69662410632895,252.75080671325435,646.4474308195834,[ 8 29 29 17 27 13 27],[20 30 13 25 13 30  9],[ 2 15  6 12 20 16 19],[20 24 23 25  7  9]
25,25,2,1,1668.9327866400745,218.91779693543043,1887.850583575505,[30 12],[ 4 12],[26 10],[19]
