,vn_id,time,type
0,11,4.182421509545321,1
1,9,6.880143124299607,1
2,5,11.85506197567527,1
3,8,18.605327525980456,1
4,1,22.785581145280275,1
5,12,32.33387892571314,1
6,7,36.419431897500935,1
7,10,38.68335566530244,1
8,0,42.35297951169831,1
9,2,42.43012442997693,1
10,6,54.19084781299367,1
11,4,62.1311371407204,1
12,3,76.85626894363574,1
13,15,84.66654045469863,1
14,13,86.7918009974225,1
15,14,91.79157994242676,1
16,13,92.55481820920949,0
17,6,100.1458510661862,0
18,27,110.34053494864226,1
19,28,111.85553638260731,1
20,14,123.61697167382019,0
21,23,126.80924304246255,1
22,21,127.50919143843123,1
23,17,129.49914469949343,1
24,26,131.97558003276293,1
25,18,132.39587288158236,1
26,10,133.89509593635532,0
27,24,134.1670624741586,1
28,24,136.72875421620643,0
29,1,139.97142746697767,0
30,19,142.4678519368885,1
31,31,142.63802085292642,1
32,16,145.9017234122581,1
33,16,177.47208892322834,0
34,25,179.38523791203153,1
35,22,184.41288366307103,1
36,20,185.8553115978171,1
37,29,193.19575946520004,1
38,30,194.66022699598247,1
39,45,202.58391372728687,1
40,15,209.9713534074652,0
41,39,213.09053403315073,1
42,19,213.92704671836853,0
43,33,217.80515140734337,1
44,35,219.22157695945987,1
45,41,219.92819387046657,1
46,38,221.28226580955038,1
47,43,237.41861174919146,1
48,46,239.3407254329324,1
49,36,244.1103074952577,1
50,7,248.92939010053337,0
51,32,252.9322894619606,1
52,43,260.60957756661765,0
53,37,260.9579863849461,1
54,11,265.25009639922223,0
55,34,265.7925923737662,1
56,12,267.8043759423623,0
57,22,271.58815922259913,0
58,45,276.45939477579793,0
59,47,279.2058216135073,1
60,42,279.68466915636645,1
61,44,287.5578052571833,1
62,8,294.04211521383235,0
63,40,294.3573710496665,1
64,44,303.3757907489341,0
65,55,315.42443964776487,1
66,57,317.871914244088,1
67,53,325.8208701749841,1
68,63,330.6681813562514,1
69,63,330.7930771249624,0
70,58,331.9817952889605,1
71,54,335.86628277589483,1
72,49,337.50512799113005,1
73,62,341.2516701451475,1
74,51,341.7766804673729,1
75,48,343.96246513464644,1
76,4,350.2828159989957,0
77,28,353.33352822315845,0
78,21,353.9334319747211,0
79,59,356.2561964115971,1
80,59,366.09181868627445,0
81,3,369.0917381803183,0
82,61,373.6030891003909,1
83,50,374.91821541830893,1
84,27,381.2969525190747,0
85,60,385.7450118196921,1
86,56,386.8342696205526,1
87,52,387.2188312765002,1
88,29,395.5673104670938,0
89,64,402.0415167245337,1
90,46,407.18267303814844,0
91,32,408.94119600505326,0
92,18,420.02460710456467,0
93,41,429.04010836185046,0
94,57,429.17793119033445,0
95,77,430.7356399441307,1
96,73,433.5678258335222,1
97,58,435.6140676388521,0
98,74,436.2034566437828,1
99,74,441.86289302332517,0
100,75,442.0389770214047,1
101,68,442.89763617859984,1
102,71,445.2208458323564,1
103,72,445.4170325517062,1
104,78,445.5428290969415,1
105,67,447.6983340869252,1
106,65,456.02893454091225,1
107,69,456.13430268501173,1
108,35,461.8322524394526,0
109,37,466.29331156889134,0
110,66,468.41859274228926,1
111,76,471.6515812121486,1
112,34,472.299144646911,0
113,38,472.793353590662,0
114,26,477.3202290072634,0
115,79,482.7788401458483,1
116,70,486.6454240740244,1
117,92,504.5980033438079,1
118,91,504.72668761021436,1
119,23,505.5863584519901,0
120,53,509.66892325145864,0
121,72,513.5583396203137,0
122,88,516.7071604667027,1
123,80,521.5933292604179,1
124,87,522.0015991079364,1
125,62,522.4354795809027,0
126,86,524.2451121585417,1
127,81,527.3966960131252,1
128,84,530.8221075193285,1
129,94,532.2214848797466,1
130,55,537.8418753396865,0
131,91,543.8613665546485,0
132,77,544.4380735488755,0
133,82,545.179422131162,1
134,39,551.2704515363275,0
135,83,552.9642088512138,1
136,64,562.2299406381219,0
137,51,567.5136491822304,0
138,84,567.776369222763,0
139,95,574.5726525364308,1
140,85,576.4402785945142,1
141,90,586.6085833287208,1
142,89,590.4222814107505,1
143,93,595.4049548745844,1
144,60,604.3538045025296,0
145,102,610.5739526219451,1
146,97,611.6853765319601,1
147,104,616.8880883417361,1
148,108,618.0169449036862,1
149,81,620.4875876315647,0
150,106,622.5110389963259,1
151,100,629.4161741414123,1
152,85,630.4122139270098,0
153,94,632.2699496140617,0
154,66,636.1698147958467,0
155,109,639.1749643109135,1
156,110,642.8156812342412,1
157,103,645.4799354301092,1
158,20,647.1602855965201,0
159,99,647.5178428442026,1
160,90,652.5849210753327,0
161,96,652.6020886006323,1
162,107,652.8350443481191,1
163,101,657.3324424144565,1
164,111,669.9941940908166,1
165,89,673.1653470727516,0
166,42,673.6381633523811,0
167,98,675.8206976658023,1
168,105,694.0941129987706,1
169,95,697.9995558833797,0
170,79,700.3035885057233,0
171,108,703.1653004361804,0
172,40,703.3102259011454,0
173,120,705.903885126814,1
174,30,706.8668505558531,0
175,117,708.9053946101134,1
176,113,712.0542743798412,1
177,33,712.164727072434,0
178,120,719.2709708804703,0
179,54,722.2077087885993,0
180,116,723.1494590000787,1
181,78,723.2445370758163,0
182,123,723.3576979232012,1
183,115,734.2513982029604,1
184,114,737.1228892426608,1
185,114,740.1993749153334,0
186,36,744.5015508476631,0
187,49,745.4617447655519,0
188,122,752.0077804546421,1
189,71,758.6192419794611,0
190,5,758.9375812673397,0
191,121,759.4035083878805,1
192,102,760.1611155957944,0
193,127,765.9614204274815,1
194,69,772.6914876580381,0
195,124,772.7288514851357,1
196,112,774.0034868491807,1
197,125,777.1251924995935,1
198,119,782.6489167706183,1
199,117,783.4390715499441,0
200,0,783.5432756255152,0
201,126,789.4238987425879,1
202,93,791.3054486972744,0
203,83,793.2547812511964,0
204,61,793.8891527481264,0
205,87,796.0115630366588,0
206,76,796.0746311052543,0
207,118,798.8682557648112,1
208,17,803.2635539704877,0
209,97,810.0567058745341,0
210,142,812.4196964340266,1
211,130,815.4811257851258,1
212,134,815.5524619464319,1
213,128,819.740477399944,1
214,105,829.330435065527,0
215,121,831.740262787952,0
216,133,835.5209911317313,1
217,131,840.6431691473,1
218,141,847.8966611297146,1
219,135,853.5805463352701,1
220,138,856.6414306101038,1
221,110,862.6360376878606,0
222,123,862.9928699077948,0
223,140,864.5945555168284,1
224,132,865.57495818357,1
225,136,873.6854026070303,1
226,137,878.4085811752443,1
227,130,887.8175871350942,0
228,139,889.0854088608829,1
229,80,891.3332876713843,0
230,143,895.9484949060088,1
231,47,898.7216154407413,0
232,129,899.2841932768224,1
233,125,899.3040894267547,0
234,111,903.5141088299241,0
235,151,904.5365384034886,1
236,48,907.0103775645933,0
237,146,913.0859836273974,1
238,136,922.3309896101985,0
239,65,922.740181758273,0
240,133,925.9092344595526,0
241,152,926.2022500430736,1
242,153,931.804869193405,1
243,159,932.9430643876326,1
244,155,934.6053439441785,1
245,154,938.8974742853561,1
246,149,951.9264132710151,1
247,156,955.4256559996488,1
248,145,967.6503802449457,1
249,147,968.4484133058944,1
250,147,969.5077028849385,0
