,id,nodes_num,edges_num,lifetime,start_time,end_time,cpu_data,ram_data,rom_data,bw_data
0,0,14,13,1186.2362688098267,60.809921224706436,1247.046190034533,[ 6 25 12 23 15  4 26 15 28 23  3  3  9  6],[14  2 29 20  7 10  8 28 11 19  9  4 12 12],[16 18 22  2 23 15 10 21 17  7 23 12 27 26],[ 5  8 13 26  2 16 26 20 30  7 13  7 13]
1,1,13,12,470.0812743186729,79.57546188401658,549.6567362026894,[25 28 24 15 10 15 26 20  2 27 19  9 24],[25 19 26  6 18 15  3 24 13  4 30  6  2],[ 5 15 30 23  2 27 26 12 10 14 23  7 18],[22 22 26 20 12 24 27 16 24 13  3  6]
2,2,3,2,285.8232803094528,18.123855955554447,303.94713626500726,[ 4  6 26],[11 18  2],[27 10  4],[ 9 20]
3,3,5,4,188.6682499895335,85.11508417433001,273.7833341638635,[ 3 27 26 12 18],[28  2 15 20  6],[13 18 30  8 20],[28  6 23 29]
4,4,4,3,307.1854222124156,12.280229990402901,319.4656522028185,[20 29 21  9],[24  6 14  4],[ 6 28 21 18],[ 2  5 13]
5,5,2,1,599.5776287787106,16.438908114325088,616.0165368930357,[24 12],[5 6],[19 30],[3]
6,6,5,4,485.5324109456771,28.46703125148366,513.9994421971608,[15 13  4  2 20],[26  8 30 28  2],[25 30 30  3 30],[11  8 14  5]
7,7,5,4,3.8768512013347163,84.45601713310322,88.33286833443793,[17  8 13  9 24],[29  2 16  2 25],[24 27 22  9  4],[15 12 30 22]
8,8,5,4,430.83330341713184,29.302660506732835,460.13596392386467,[25 11  4  2 28],[ 5 29 28  9  6],[ 2 30 12 10 22],[27  8 20 23]
9,9,8,7,285.4536458680805,76.75722017180674,362.21086603988726,[18  3 17 11 19 19 24 24],[25 18 17 14 21  9 23 22],[21 12  3 30  8 18 23 21],[ 5 20 12 27 14 20 26]
10,10,4,3,53.15373053950262,45.35302888446354,98.50675942396616,[15 18 11  9],[19 21  3 11],[ 2 22 24  6],[ 8 14 21]
11,11,5,4,399.61232297604016,68.30865563570588,467.920978611746,[11 30 22 10  5],[23  4 26 20 30],[26  5  8 26  4],[ 6  6 26 11]
12,12,10,9,97.25009240137054,57.6192107908799,154.86930319225044,[ 7 28 24 12 19 26 25  3  5 16],[ 6 18  5  9 16 27  4 27 19  4],[ 2 10  8 18 28 28 21  3 26 14],[ 9 28 11  9 22  7 22 10 24]
13,13,4,3,453.4448980410875,58.377260473802906,511.8221585148904,[15 15 17 16],[ 7 16 18 15],[16 29  6 27],[25 21 14]
14,14,9,8,41.47140121170952,192.5305491156007,234.00195032731023,[10 15  8 19 22 25  5 14 24],[ 2  4  5 13  8 22 16  9 15],[10  7  8 21  3  8 13 10 21],[30 13 10 12  3  6  3 22]
15,15,5,4,331.63297672338246,126.51240028069302,458.1453770040755,[29 23 16 17 11],[ 5 18 20  9  8],[ 8 15 23 28  2],[ 6 16 22 12]
16,16,2,1,214.58542996466068,148.3126959658931,362.89812593055376,[11 16],[ 8 12],[29  9],[21]
17,17,14,13,23.56289675635564,122.21116252999123,145.77405928634687,[17 23 21  2 21 28 24  3 23 28 22 19 19 10],[21 18 29 16 17 14 10 24 19 16 30  2 12  4],[17 26 28 12 30 20 29  5 15 10  4  5 13  3],[20 22 26 27 18 15  8 12 27 27 20 14 26]
18,18,8,7,332.8308023474037,102.14249687750043,434.9732992249041,[15  8 26 11 19 10 11 27],[ 4 26 19 29 13  2  3 15],[20 21 26 15  2  2  8 16],[11 17  6  3 14 18 14]
19,19,3,2,420.7064419949433,195.01939358202742,615.7258355769707,[19 12 10],[11 25  3],[23  8  7],[15 26]
20,20,7,6,173.86374738447836,169.95169506062044,343.8154424450988,[29 21 13 22 24  7 26],[16 26 11 14 10 27 25],[27 26 24 23  8 28 26],[21  6 27 27  2  6]
21,21,13,12,748.3011228660441,101.19265298151997,849.493775847564,[ 9 10 19 18 20  5 12  9 28 20 19 24  7],[24 24 10 29 26 30  5 26 10 21  6 16 11],[20 19 27  2 14 25 18 29 29 10  4  6 20],[19 17 21 13 11 11 12 12 13 11 25 11]
22,22,3,2,559.7861058792605,160.44551851818846,720.231624397449,[17 18  3],[18 10 14],[21 13 20],[24 22]
23,23,12,11,1059.718265431917,141.7206237594008,1201.4388891913177,[ 8 15 21 18 23 19  2 17  2 30 20 12],[25  9 26 21 10  2 12 21 25 10  9  4],[26 10 20 29  2  2  2 14 23  6  4 10],[ 5 21 30 21 16  6 27 23 27 23 30]
24,24,5,4,704.0601340244888,181.87473982992418,885.9348738544129,[21 30  8 14 16],[13 28 16 10 29],[24 11 26  5 24],[13 28 12  2]
25,25,12,11,1031.7020277686986,185.1876510024631,1216.8896787711617,[14  9 10 24  3 11  4 22  4 25 21 11],[29  3 27  2 24 19 11 25 29 26 20 25],[28 15 16 23  4 25  2  6 11 14 19 11],[ 8  9 16 13 13 19  7  3 12 12  6]
26,26,11,10,252.04357847472124,178.83013176908142,430.87371024380263,[22 15 21 22  5  3 10 26 19 13 11],[17 21 28 28 16 25  7 20  3  9 22],[15  7 12  3 16 15  3 19 19 29 13],[ 6 11 23 21 25  9 27 23 23  2]
27,27,3,2,906.9298986973052,182.25982202813515,1089.1897207254403,[ 7 25 14],[25 18 15],[28 28  4],[15 20]
