,0,1,2,3,4,5,6,7,8
0,1, True,1,1,182,182,244,0.74590164,1
1,2, True,2,1,162,142,164,0.79411765,2
2,3, True,3,1,260.3333333,457,630,0.75240848,3
3,4, True,4,1,330.5,541,728,0.74858437,4
4,5, True,5,1,313.6,246,312,0.7545717,5
5,6, True,6,1,310.3333333,294,375,0.75907053,6
6,7, True,7,1,305.2857143,275,314,,7
7,8, True,8,1,295.75,229,280,0.77650148,8
8,9, True,9,1,325.8888889,567,744,0.77367449,9
9,10, True,10,1,341.8,485,615,0.77576033,10
10,11, True,11,1,335.3636364,271,374,0.77175732,11
11,12, True,12,1,333.9166667,318,453,0.76571756,12
12,13, True,13,1,330.1538462,285,410,0.76058834,13
13,14, True,14,1,341.0714286,483,619,0.76253593,14
14,15, True,15,1,335.3333333,255,327,0.76339353,15
15,16, True,16,1,327.25,206,216,0.76943424,16
16,17, True,17,1,317.2941177,158,186,0.77156344,17
17,18, True,18,1,314.3888889,265,303,0.77584316,17
18,19, True,19,1,319.0526316,403,460,0.78179004,18
19,20, True,20,1,312.55,189,216,0.78431619,19
20,21, True,21,1,303.4285714,121,159,0.78386025,19
21,22, True,22,1,292.5454546,64,92,0.78287313,20
22,23, True,23,1,296.5217391,384,582,0.77473589,21
23,24, True,24,1,305.0416667,501,575,0.78065686,22
24,25, True,25,1,314.52,542,753,0.77613266,23
25,26, True,26,1,306.6538462,110,125,0.7773986,24
26,27, True,27,1,304.3333333,244,277,0.78011962,25
27,28, True,28,1,299.2142857,161,179,0.78211352,26
28,29, True,29,1,306.862069,521,597,0.78689539,26
29,30, True,30,1,312.2666667,469,631,0.78458961,27
30,31, True,31,1,311.0967742,276,377,0.78298287,28
31,32, True,32,1,309.46875,259,322,0.78352718,29
32,33, True,33,1,315.3333333,503,715,0.77924217,30
33,34, True,34,1,317.0588235,374,417,0.78280444,30
34,35, True,35,1,318.0285714,351,429,0.78387324,31
35,36, True,36,1,314.0833333,176,205,0.78493579,32
36,37, True,37,1,310.0540541,165,195,0.78575342,32
37,38, True,38,1,305,118,126,0.78704332,33
38,39, True,39,1,309.6153846,485,625,0.78659371,34
39,40, True,40,1,313.025,446,534,0.78822789,35
40,41, True,41,1,313.7317073,342,495,0.78528694,36
41,42, True,42,1,319.0952381,539,651,0.78691797,37
42,43, True,43,1,324.3255814,544,637,0.78933665,38
43,44, True,44,1,331.0227273,619,828,0.78746756,38
44,45, True,45,1,326.9333333,147,213,0.78635951,39
45,46, True,46,1,321.8043478,91,129,0.78580529,40
46,47, True,47,1,318.7021277,176,235,0.78535102,40
47,48, True,48,1,316.9375,234,243,0.78758542,41
48,49, True,49,1,318.3877551,388,560,0.78491648,42
49,50, True,50,1,319.86,392,491,0.78524083,43
50,51, True,51,1,321.2745098,392,538,0.78378378,43
51,52, True,52,1,320.6538462,289,328,0.78528705,44
52,53, True,53,1,325.0943396,556,718,0.78493007,44
53,54, True,54,1,325.0555556,323,411,0.78494768,45
54,55, True,55,1,326.2727273,392,524,0.78410382,43
55,56, True,56,1,325,255,269,0.78600734,44
56,57, True,57,1,325.4912281,353,495,0.78448203,45
57,58, True,58,1,322.1724138,133,161,0.78476334,46
58,59, True,59,1,322.7288136,355,567,0.7810731,46
59,60, True,60,1,326.1666667,529,644,0.78211174,47
60,61, True,61,1,328.4262295,464,543,0.78364952,48
61,62, True,62,1,331.6612903,529,644,0.78457782,49
62,63, True,63,1,334.5873016,516,616,0.78579683,50
63,64, True,64,1,333.96875,295,357,0.78632919,51
64,65, True,65,1,333.6,310,417,0.78568064,51
65,66, True,66,1,337.969697,622,790,0.78572687,52
66,67, True,67,1,341.2537313,558,796,0.78341614,53
67,68, True,68,1,339.1176471,196,262,0.78310184,54
68,69, True,69,1,338.2318841,278,360,0.78297044,55
69,70, True,70,1,335.7714286,166,182,0.78375404,54
70,71, True,71,1,337.1971831,437,558,0.78374308,55
71,72, True,72,1,339.125,476,641,0.78289727,56
72,73, True,73,1,337.4109589,214,316,0.78183723,57
73,74, True,74,1,336.6216216,279,353,0.78193176,58
74,75, True,75,1,335.08,221,295,0.781631,58
75,76, True,76,1,338.5131579,596,695,0.78323743,58
76,77, True,77,1,339.2857143,398,486,0.78375784,57
77,78, True,78,1,341.1410256,484,602,0.78411669,58
78,79, True,79,1,341.2405063,349,446,0.78409587,59
79,80, True,80,1,343.525,524,662,0.78423651,59
80,81, True,81,1,345.3703704,493,617,0.78449243,57
81,82, True,82,1,346.6341463,449,649,0.78283621,58
82,83, True,83,1,345,211,263,0.78297605,59
83,84, True,84,1,343.7142857,237,256,0.78396872,60
84,85, True,85,1,341.7176471,174,216,0.78409459,61
85,86, True,86,1,342.2325581,386,537,0.7831617,62
86,87, True,87,1,341.3103448,262,323,0.78340017,63
87,88, True,88,1,343.1136364,500,665,0.7828567,61
88,89, True,89,1,342.4269663,282,343,0.78320312,62
89,90, True,90,1,341.9444444,299,401,0.78281993,63
90,91, True,91,1,339.6703297,135,171,0.78284875,64
91,92, True,92,1,340.9782609,460,625,0.78211873,64
92,93, True,93,1,342,436,601,0.78128224,65
93,94, True,94,1,340.712766,221,265,0.78162294,66
94,95, True,95,1,339.6421053,239,303,0.78167547,67
95,96, True,96,1,341.5208333,520,632,0.78229539,66
96,97, True,97,1,339.5876289,154,202,0.78219985,66
97,98, True,98,1,337.5408163,139,190,0.78197248,67
98,99, True,99,1,338.1919192,402,505,0.78213844,68
99,100, True,100,1,335.61,80,86,0.78243536,68
100,101, True,101,1,337.5643564,533,677,0.7825109,69
101,102, True,102,1,335.4607843,123,167,0.78233532,69
102,103, True,103,1,337.592233,555,754,0.78155132,70
103,104, True,104,1,336.0769231,180,214,0.78183648,71
104,105,FALSE,104,0.99047619,332.8761905,0,0,0.78183648,71
105,106, True,105,0.99056604,331.6132076,199,240,0.78208922,72
106,107, True,106,0.99065421,332.4766355,424,513,0.78259052,71
107,108, True,107,0.99074074,333.2407407,415,538,0.78245934,71
108,109, True,108,0.99082569,335.1376147,540,722,0.7819256,69
109,110, True,109,0.99090909,333.5,155,195,0.78197941,69
110,111, True,110,0.99099099,331.4864865,110,110,0.78248942,68
111,112, True,111,0.99107143,331.0714286,285,376,0.78229499,69
112,113, True,112,0.99115044,331.159292,341,412,0.78268599,69
113,114, True,113,0.99122807,332.2894737,460,642,0.78180918,70
114,115, True,114,0.99130435,330.1913044,91,93,0.78218597,71
115,116, True,115,0.99137931,332.1206897,554,741,0.78166657,71
116,117, True,116,0.99145299,333.8376068,533,698,0.78141442,72
117,118, True,117,0.99152542,333.0932203,246,322,0.7813028,72
118,119, True,118,0.99159664,334.3445378,482,715,0.77980087,73
119,120, True,119,0.99166667,332.9083333,162,196,0.77997969,73
120,121, True,120,0.99173554,333.9586777,460,579,0.78014171,73
121,122,FALSE,120,0.98360656,331.2213115,0,0,0.78014171,73
122,123, True,121,0.98373984,332.0162602,429,533,0.78039366,74
123,124, True,122,0.98387097,333.6612903,536,678,0.78052369,73
124,125,FALSE,122,0.976,330.992,0,0,0.78052369,73
125,126, True,123,0.97619048,329.3888889,129,155,0.78067453,74
126,127, True,124,0.97637795,327.8661417,136,166,0.78079469,75
127,128,FALSE,124,0.96875,325.3046875,0,0,0.78079469,74
128,129,FALSE,124,0.96124031,322.7829457,0,0,0.78079469,74
129,130, True,125,0.96153846,321.0076923,92,119,0.78077758,72
130,131, True,126,0.96183206,320.4198473,244,303,0.7809157,73
131,132, True,127,0.96212121,318.8787879,117,139,0.78107256,72
132,133, True,128,0.96240602,320.7819549,572,788,0.78027726,73
133,134, True,129,0.96268657,322.1716418,507,682,0.77982298,74
134,135, True,130,0.96296296,320.4814815,94,100,0.78011179,74
135,136, True,131,0.96323529,322.2720588,564,736,0.77993096,73
136,137,FALSE,131,0.95620438,319.919708,0,0,0.77993096,73
137,138, True,132,0.95652174,318.6956522,151,170,0.7802576,74
138,139, True,133,0.95683453,319.3597122,411,530,0.78021302,73
139,140,FALSE,133,0.95,317.0785714,0,0,0.78021302,73
140,141,FALSE,133,0.94326241,314.8297872,0,0,0.78021302,71
141,142, True,134,0.94366197,316.028169,485,572,0.78088675,72
142,143, True,135,0.94405594,317.5034965,527,744,0.77995946,72
143,144,FALSE,135,0.9375,315.2986111,0,0,0.77995946,72
144,145,FALSE,135,0.93103448,313.1241379,0,0,0.77995946,71
145,146, True,136,0.93150685,312.3835616,205,229,0.78041101,71
146,147,FALSE,136,0.92517007,310.2585034,0,0,0.78041101,70
147,148, True,137,0.92567568,308.8648649,104,106,0.78077442,70
148,149, True,138,0.9261745,309.8255034,452,553,0.78111675,71
149,150, True,139,0.92666667,310.4733333,407,515,0.78119601,72
