,placement_id,actor_loss,critic_loss,done,success,acceptance_ratio,aver_revenue,revenue,cost,revenue_to_cost,inservice
0,1,-0.161983460187912,0.008190775290131569,"[ True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True]",[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[244. 244. 244. 244. 244. 244. 244. 244. 244. 244. 244. 244. 244. 244.
 244. 244.]",[244 244 244 244 244 244 244 244 244 244 244 244 244 244 244 244],[281 308 318 315 252 288 300 289 270 308 315 281 315 307 289 290],"[0.8683274  0.79220779 0.7672956  0.77460317 0.96825397 0.84722222
 0.81333333 0.84429066 0.9037037  0.79220779 0.77460317 0.8683274
 0.77460317 0.79478827 0.84429066 0.84137931]",[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]
1,2,0.5584564208984375,0.01515652984380722,"[ True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True]",[2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[423.5 423.5 423.5 423.5 423.5 423.5 423.5 423.5 423.5 423.5 423.5 423.5
 423.5 423.5 423.5 423.5]",[603 603 603 603 603 603 603 603 603 603 603 603 603 603 603 603],[785 771 751 750 832 846 801 792 823 772 842 827 755 760 817 777],"[0.7945591  0.7849861  0.79232928 0.79530516 0.78136531 0.74691358
 0.76930064 0.78353377 0.77493138 0.78425926 0.73206569 0.76444043
 0.79158879 0.79381443 0.76582278 0.79381443]",[2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2]
2,3,0.9688764810562134,0.04496995359659195,"[ True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True]",[3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[530.66666667 530.66666667 530.66666667 530.66666667 530.66666667
 530.66666667 530.66666667 530.66666667 530.66666667 530.66666667
 530.66666667 530.66666667 530.66666667 530.66666667 530.66666667
 530.66666667]",[745 745 745 745 745 745 745 745 745 745 745 745 745 745 745 745],[764 746 755 662 725 803 696 791 766 789 720 814 745 715 746 772],"[0.86994536 0.87232877 0.87280702 0.92182976 0.88004422 0.82188952
 0.88592098 0.85042735 0.85637439 0.8517924  0.84816196 0.82830385
 0.87713499 0.89337823 0.85961123 0.86568787]",[3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3]
3,4,0.944837212562561,0.04244665801525116,"[ True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True]",[4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[584.75 584.75 584.75 584.75 584.75 584.75 584.75 584.75 584.75 584.75
 584.75 584.75 584.75 584.75 584.75 584.75]",[747 747 747 747 747 747 747 747 747 747 747 747 747 747 747 747],[867 870 890 856 806 901 781 883 802 890 888 903 803 835 795 858],"[0.86725992 0.86790353 0.86182756 0.9055362  0.89445507 0.82417195
 0.90729247 0.84900181 0.87899286 0.84777093 0.84593128 0.8279646
 0.8934301  0.89377149 0.88364186 0.86725992]",[4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4]
4,5,0.5297419428825378,0.013869102112948895,"[ True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True]",[5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[591.2 591.2 591.2 591.2 591.2 591.2 591.2 591.2 591.2 591.2 591.2 591.2
 591.2 591.2 591.2 591.2]",[617 617 617 617 617 617 617 617 617 617 617 617 617 617 617 617],[816 877 846 870 785 888 886 828 786 809 793 825 841 779 861 852],"[0.84144606 0.82754759 0.83033708 0.85606719 0.86941176 0.79334407
 0.85334873 0.82500698 0.8575573  0.82847534 0.83080382 0.80986301
 0.85458225 0.87043581 0.84264538 0.83291068]",[5 5 5 5 5 5 5 5 5 5 5 5 5 5 5 5]
5,6,1.352959394454956,0.08711595833301544,"[ True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True]",[6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[636.16666667 636.16666667 636.16666667 636.16666667 636.16666667
 636.16666667 636.16666667 636.16666667 636.16666667 636.16666667
 636.16666667 636.16666667 636.16666667 636.16666667 636.16666667
 636.16666667]",[861 861 861 861 861 861 861 861 861 861 861 861 861 861 861 861],[768 799 809 765 837 876 795 827 861 721 731 827 799 764 788 788],"[0.89161411 0.87325555 0.8736553  0.90493125 0.90087326 0.82942199
 0.89621977 0.86553288 0.886026   0.88995104 0.88995104 0.85257985
 0.89643025 0.91754808 0.88850093 0.88010145]",[6 6 6 6 6 6 6 6 6 6 6 6 6 6 6 6]
6,7,-0.0016708301845937967,0.00042345537804067135,"[ True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True]",[7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[598.42857143 598.42857143 598.42857143 598.42857143 598.42857143
 598.42857143 598.42857143 598.42857143 598.42857143 598.42857143
 598.42857143 598.42857143 598.42857143 598.42857143 598.42857143
 598.42857143]",[372 372 372 372 372 372 372 372 372 372 372 372 372 372 372 372],[471 481 481 481 468 450 487 447 456 449 477 481 481 484 484 427],"[0.88152357 0.86335532 0.86371134 0.89146627 0.89032944 0.82917656
 0.88263801 0.86246654 0.87930311 0.88412832 0.87893412 0.84489714
 0.88394176 0.90202412 0.87635983 0.87930311]",[7 7 7 7 7 7 7 7 7 7 7 7 7 7 7 7]
7,8,-0.19044382870197296,0.010961298830807209,"[ True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True]",[8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[547.25 547.25 547.25 547.25 547.25 547.25 547.25 547.25 547.25 547.25
 547.25 547.25 547.25 547.25 547.25 547.25]",[189 189 189 189 189 189 189 189 189 189 189 189 189 189 189 189],[236 242 242 250 228 233 234 242 253 250 236 225 231 253 211 233],"[0.8777065  0.85944248 0.85978005 0.88462316 0.8874924  0.82838221
 0.87911647 0.85859973 0.87263305 0.8777065  0.8752499  0.84468455
 0.88088531 0.89401674 0.87717892 0.87612568]",[8 8 8 8 8 8 8 8 8 8 8 8 8 8 8 8]
8,9,0.5790970921516418,0.016257669776678085,"[ True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True]",[9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[554. 554. 554. 554. 554. 554. 554. 554. 554. 554. 554. 554. 554. 554.
 554. 554.]",[608 608 608 608 608 608 608 608 608 608 608 608 608 608 608 608],[748 703 724 687 696 752 744 727 753 740 773 692 698 753 776 797],"[0.86924686 0.86010005 0.85729023 0.88466998 0.88577012 0.82590691
 0.87106918 0.85581874 0.86412478 0.87046089 0.86337662 0.84868085
 0.87967537 0.88247788 0.8645743  0.86054539]",[9 9 9 9 9 9 9 9 9 9 9 9 9 9 9 9]
9,10,-0.11009316146373749,0.0037162508815526962,"[ True  True  True  True  True  True  True  True  True  True  True  True
  True  True  True  True]",[10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],"[524. 524. 524. 524. 524. 524. 524. 524. 524. 524. 524. 524. 524. 524.
 524. 524.]",[254 254 254 254 254 254 254 254 254 254 254 254 254 254 254 254],[363 292 348 358 371 358 386 305 335 335 292 333 292 335 269 320],"[0.85915724 0.86056824 0.85009734 0.87420754 0.87333333 0.81939015
 0.85761047 0.85467297 0.85831286 0.86425862 0.86368881 0.84407216
 0.87919463 0.87552214 0.86812459 0.85704939]",[10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10]
