,place_id,result,success,acceptance_ratio,aver_revenue,revenue,cost,revenue_to_cost,inservice
0,1,True,1,1.0,244.0,244,334,0.7305389221556886,1
1,2,True,2,1.0,423.5,603,785,0.7569258266309205,2
2,3,True,3,1.0,530.6666666666666,745,890,0.7924340467894475,3
3,4,True,4,1.0,584.75,747,1004,0.7763026883504812,4
4,5,True,5,1.0,591.2,617,790,0.7772810938732579,5
5,6,True,6,1.0,636.1666666666666,861,1151,0.7704884941461445,6
6,7,True,7,1.0,598.4285714285714,372,496,0.7686238532110091,7
7,8,True,8,1.0,547.25,189,250,0.7680701754385965,8
8,9,True,9,1.0,554.0,608,770,0.7706336939721793,9
9,10,True,10,1.0,524.0,254,297,0.7743460913255504,10
10,11,True,11,1.0,519.0909090909091,470,638,0.7711006076975017,11
11,12,True,12,1.0,547.0,854,1119,0.7700610042233693,12
12,13,True,13,1.0,520.0769230769231,197,227,0.7725974174380071,11
13,14,True,14,1.0,504.64285714285717,304,365,0.775010969723563,12
14,15,True,15,1.0,536.7333333333333,986,1307,0.7724263647702198,12
15,16,True,16,1.0,519.0,253,336,0.7718189422808811,13
16,17,True,17,1.0,517.3529411764706,491,559,0.7770807563173706,14
17,18,True,18,1.0,493.8888888888889,95,117,0.7774376912986445,15
18,19,True,19,1.0,493.57894736842104,488,577,0.7807192807192808,16
19,20,True,20,1.0,491.0,442,672,0.7742037212235888,17
20,21,True,21,1.0,488.0952380952381,430,596,0.7718373493975904,18
21,22,True,22,1.0,484.27272727272725,404,549,0.7704100079542989,18
22,23,True,23,1.0,467.82608695652175,106,112,0.7718241159170791,19
23,24,True,24,1.0,467.4166666666667,458,595,0.7717391304347826,20
24,25,True,25,1.0,469.32,515,671,0.7715525744722825,20
25,26,True,26,1.0,473.53846153846155,579,730,0.7725418836669385,20
26,27,True,27,1.0,485.85185185185185,806,1008,0.7741516671584538,21
27,28,True,28,1.0,486.07142857142856,492,631,0.7743513882567137,22
28,29,True,29,1.0,475.3448275862069,175,221,0.7745687475417206,22
29,30,True,30,1.0,480.23333333333335,622,738,0.7772862152684111,23
30,31,True,31,1.0,487.83870967741933,716,927,0.7770527181173569,24
31,32,True,32,1.0,476.6875,131,150,0.7777891087089537,25
32,33,True,33,1.0,465.6969696969697,114,144,0.777890261186475,26
33,34,True,34,1.0,470.97058823529414,645,770,0.780132514859203,26
34,35,True,35,1.0,462.6,178,201,0.7811550151975684,27
35,36,True,36,1.0,459.55555555555554,353,489,0.779788838612368,28
36,37,True,37,1.0,469.27027027027026,819,1086,0.7785400412519057,29
37,38,True,38,1.0,473.89473684210526,645,830,0.7784886736987723,30
38,39,True,39,1.0,476.84615384615387,589,708,0.7800755033557047,30
39,40,True,40,1.0,469.975,202,243,0.7805921189220612,31
40,41,True,41,1.0,481.0243902439024,923,1174,0.780852832878014,32
41,42,True,42,1.0,489.1666666666667,823,1043,0.7811787072243346,33
42,43,True,43,1.0,489.1860465116279,490,609,0.7817087219889256,34
43,44,True,44,1.0,492.3863636363636,630,860,0.7801865389463071,35
44,45,True,45,1.0,499.9555555555556,833,1199,0.7766500966583817,36
45,46,True,46,1.0,505.7608695652174,767,933,0.7780676231564162,37
46,47,True,47,1.0,505.6595744680851,501,638,0.7782180163070173,38
47,48,True,48,1.0,510.6666666666667,746,916,0.7792719758384995,39
48,49,True,49,1.0,509.53061224489795,455,579,0.7793906474370981,39
49,50,True,50,1.0,514.0,733,1061,0.776552349297477,39
50,51,True,51,1.0,518.0,718,1002,0.7747895709299938,40
51,52,False,51,0.9807692307692307,508.03846153846155,0,0,0.7747895709299938,40
52,53,False,51,0.9622641509433962,498.45283018867923,0,0,0.7747895709299938,40
53,54,False,51,0.9444444444444444,489.22222222222223,0,0,0.7747895709299938,40
54,55,False,51,0.9272727272727272,480.3272727272727,0,0,0.7747895709299938,40
55,56,False,51,0.9107142857142857,471.75,0,0,0.7747895709299938,40
56,57,True,52,0.9122807017543859,474.6842105263158,639,864,0.77391951031149,40
57,58,True,53,0.9137931034482759,474.6551724137931,473,548,0.7752964037286322,41
